x, y, z
-2.549937, -1.376906, -0.06188755
-2.677538, -1.190043, -0.03855962
-2.571995, -1.415272, -0.09101447
-2.563046, -1.420978, -0.1441849
-2.38878, -1.53398, 0.08137175
-2.450187, -1.45728, -0.05100837
-2.511538, -1.418573, 0.1783994
-2.474733, -1.441733, -0.1471928
-2.382856, -1.397781, 0.2235043
-2.490099, -1.389374, 0.2235059
-2.614008, -1.320312, 0.08420369
-2.456745, -1.506493, -0.0324754
-2.624859, -1.292736, 0.223514
-2.65222, -1.233718, 0.1344704
-2.464579, -1.505497, 0.1282177
-2.669518, -1.198062, 0.2235026
-2.721283, -1.091781, -0.1969418
-2.716607, -1.096757, -0.1440226
-2.685681, -1.17976, -0.0899094
-2.678317, -1.180703, -0.1646119
-2.627699, -1.280409, -0.1722171
-2.755187, -0.9841734, -0.2235182
-2.615761, -1.22984, -0.01965103
-2.596675, -1.369605, -0.03799954
-2.696122, -1.14086, -0.03200915
-2.723651, -1.089043, -0.09207439
-2.618911, -1.308795, 0.01152632
-2.676794, -1.190809, 0.01441309
-2.722575, -1.068931, 0.02312554
-2.706789, -1.118859, 0.01499787
-2.615348, -1.323159, 0.1800108
-2.686815, -1.183013, 0.1740003
-2.534461, -1.354037, 0.2197641
-2.695642, -1.137982, 0.08093503
-2.565216, -1.310696, 0.1682517
-2.540534, -1.362713, 0.1648688
-2.715416, -1.095639, 0.1709677
-2.753715, -0.9971954, 0.2235305
-2.719922, -1.090586, 0.2235266
-2.771599, -0.9473161, 0.223487
-2.851972, -0.6619434, -0.1440012
-2.796365, -0.8910097, -0.1440814
-2.789784, -0.7160404, -0.2235015
-2.819744, -0.7898462, -0.1581476
-2.839819, -0.7430129, -0.1435783
-2.82039, -0.7592638, -0.2235213
-2.839399, -0.6974366, -0.2235118
-2.808041, -0.8465657, -0.09102325
-2.780622, -0.941646, -0.197008
-2.788404, -0.7984304, -0.2077674
-2.788838, -0.8898588, -0.223515
-2.808342, -0.846302, -0.1969851
-2.811274, -0.840173, -0.1438958
-2.819775, -0.791693, -0.1051865
-2.758627, -0.8576324, -0.1276645
-2.798454, -0.8515651, 0.07766446
-2.729359, -0.9928159, 0.06176668
-2.708399, -1.0062, -0.07108134
-2.810907, -0.8045957, 0.05650853
-2.779835, -0.9386219, -0.03791042
-2.747111, -1.011958, 0.01506375
-2.735503, -1.043512, -0.04496488
-2.850668, -0.6949029, -0.03800732
-2.780626, -0.9415907, -0.1440005
-2.741421, -0.9076477, -0.1330057
-2.800774, -0.8561354, -0.03800668
-2.718472, -1.093401, -0.03952342
-2.736448, -0.9537405, -0.06428337
-2.704133, -1.064353, 0.1297111
-2.767576, -0.9566368, 0.06797822
-2.753781, -0.8761642, 0.09442154
-2.744369, -1.03098, 0.1210003
-2.833514, -0.7480507, 0.0703989
-2.811477, -0.8164248, 0.1210102
-2.764142, -0.8602824, 0.03822646
-2.739267, -1.04447, 0.06800294
-2.812077, -0.8429456, 0.01499932
-2.835461, -0.7055111, 0.1019223
-2.776071, -0.9156593, 0.1311501
-2.780498, -0.9059197, 0.05964185
-2.702021, -1.029904, -0.006223679
-2.791621, -0.8907276, 0.004661679
-2.754363, -0.9237589, 0.178815
-2.796823, -0.892408, 0.1740049
-2.810934, -0.8120427, 0.2235019
-2.727901, -1.04807, 0.1929716
-2.683775, -0.9725131, 0.08820009
-2.832448, -0.7411287, 0.1410469
-2.786121, -0.7610059, 0.2235082
-2.759249, -0.9804126, 0.115502
-2.759506, -0.9898244, 0.1678717
-2.750311, -0.8673198, 0.1704095
-2.847888, -0.6740115, 0.2235281
-2.809022, -0.8410566, 0.1787815
-2.836346, -0.7441621, 0.2235204
-2.793018, -0.8655269, 0.1284997
-2.807974, -0.6547616, -0.2231947
-2.875256, -0.5320375, -0.2235287
-2.740834, -0.7888036, -0.1865559
-2.805753, -0.5940418, -0.2234853
-2.855246, -0.6543946, -0.1969912
-2.788878, -0.7546573, -0.1271072
-2.856712, -0.6085517, -0.2235155
-2.866001, -0.6043763, -0.1441426
-2.791696, -0.7504795, -0.1798588
-2.819091, -0.7053537, -0.175207
-2.867751, -0.5707166, -0.1881062
-2.810828, -0.6387997, -0.1726847
-2.83714, -0.7279644, -0.0912994
-2.847624, -0.6750214, -0.08703709
-2.863481, -0.6434932, -0.03800088
-2.77104, -0.8952295, -0.06704113
-2.816418, -0.7934842, -0.005969435
-2.768522, -0.8089492, -0.146117
-2.861154, -0.6239393, -0.0910596
-2.806063, -0.8066542, -0.05623439
-2.757136, -0.8432472, -0.07669069
-2.851654, -0.6939354, 0.01497076
-2.722032, -0.9066018, -0.08370821
-2.81964, -0.6201372, -0.1238705
-2.778226, -0.7775242, 0.1072977
-2.745133, -0.8107908, 0.06528485
-2.720322, -0.9422697, 0.04877238
-2.85968, -0.6476955, 0.06798032
-2.854492, -0.6557665, 0.1209633
-2.838487, -0.7065825, 0.1810053
-2.73287, -0.9633261, -0.0004514903
-2.693434, -0.9657294, -0.03577635
-2.742458, -0.9050206, 0.01829234
-2.781291, -0.7391112, 0.07092464
-2.772592, -0.807981, 0.02004807
-2.86448, -0.64253, 0.01499139
-2.860474, -0.5702319, 0.2228133
-2.874444, -0.5927954, 0.1740063
-2.759775, -0.8270788, 0.1135339
-2.811999, -0.5943294, 0.2235122
-2.699743, -0.9253994, 0.1678586
-2.825884, -0.7910411, 0.1739996
-2.856061, -0.6224093, 0.2146601
-2.721981, -0.8326654, 0.198744
-2.803364, -0.7027223, 0.2235077
-2.763794, -0.8163304, 0.1652767
-2.721138, -0.8913838, 0.1333007
-2.854189, -0.6564622, 0.173957
-2.88775, -0.4726763, -0.1390841
-2.858638, -0.4526634, -0.1785855
-2.876221, -0.5090575, -0.1758158
-2.898096, -0.4209454, -0.1440074
-2.883227, -0.4662936, -0.2235057
-2.824325, -0.5448973, -0.2166145
-2.838157, -0.4941907, -0.2234156
-2.775912, -0.6565917, -0.1370278
-2.877051, -0.548794, -0.1407706
-2.819533, -0.5865333, -0.1728692
-2.759788, -0.5675094, -0.2235097
-2.783353, -0.5484211, -0.1796776
-2.767644, -0.7946708, -0.09508923
-2.804338, -0.695987, -0.064668
-2.832865, -0.7477961, -0.03430346
-2.879014, -0.5199344, -0.08621967
-2.885418, -0.5408425, -0.03794533
-2.887857, -0.4676795, -0.08633392
-2.705988, -0.834018, -0.09222035
-2.870461, -0.5717344, -0.09345974
-2.814105, -0.6930952, -0.1238912
-2.805719, -0.7075982, -0.01298964
-2.871379, -0.5915058, -0.04430801
-2.89396, -0.4885688, -0.03801811
-2.885466, -0.540941, 0.06800039
-2.807956, -0.6611717, 0.09276658
-2.888049, -0.4894412, 0.05569333
-2.814269, -0.7024467, 0.05153304
-2.885475, -0.5409517, 0.1210016
-2.817041, -0.6516383, 0.03675736
-2.884456, -0.5384881, 0.0150032
-2.723291, -0.8189983, 0.004049063
-2.821422, -0.7469385, 0.01883116
-2.87499, -0.590611, 0.015001
-2.785243, -0.7262082, 0.122168
-2.874263, -0.5929589, 0.06800097
-2.812899, -0.6803579, 0.1427364
-2.893972, -0.4886584, 0.1740333
-2.873624, -0.5936365, 0.1210027
-2.758831, -0.6740589, 0.2235104
-2.913533, -0.3366654, 0.2235133
-2.798176, -0.6618538, 0.1901662
-2.888016, -0.4894731, 0.1086846
-2.879581, -0.5208056, 0.2235025
-2.90207, -0.3955498, 0.2235378
-2.807995, -0.541045, 0.2235083
-2.832039, -0.6157889, 0.1482548
-2.88546, -0.5409586, 0.1740016
-2.823383, -0.5128667, -0.174406
-2.905739, -0.3283312, -0.2234142
-2.898199, -0.4225874, -0.197001
-2.769919, -0.6051345, -0.1738048
-2.852307, -0.4232514, -0.2235042
-2.769612, -0.4304655, -0.1905903
-2.887024, -0.377914, -0.2235075
-2.806687, -0.4515688, -0.2220742
-2.898702, -0.3758647, -0.1718602
-2.876473, -0.306263, -0.179453
-2.772943, -0.4966326, -0.1754886
-2.921661, -0.2848473, -0.1970117
-2.852921, -0.3239729, -0.2235036
-2.807527, -0.457727, -0.1655399
-2.834028, -0.3734889, -0.2235027
-2.849577, -0.3997278, -0.1454588
-2.798896, -0.6465046, -0.08284649
-2.897201, -0.4156036, -0.08937381
-2.84848, -0.5062459, -0.1273158
-2.802873, -0.5698853, -0.1254054
-2.822607, -0.6049478, -0.06005768
-2.83771, -0.5182431, -0.04239248
-2.839579, -0.560324, -0.0102381
-2.813379, -0.6573045, -0.02773541
-2.901531, -0.4361293, -0.03794068
-2.760572, -0.672895, -0.04117003
-2.903273, -0.3484621, -0.0264357
-2.77611, -0.6222453, -0.041448
-2.750687, -0.5776238, -0.02844016
-2.898133, -0.3716938, -0.1190347
-2.82286, -0.553345, -0.07920173
-2.797071, -0.7569597, -0.07227826
-2.830739, -0.6127942, 0.0953806
-2.785334, -0.636049, 0.1335614
-2.775568, -0.6703174, 0.00957042
-2.850887, -0.4976854, 0.018824
-2.770366, -0.7291524, 0.02004582
-2.890433, -0.4585383, 0.01270926
-2.817835, -0.6085701, -0.00740543
-2.834674, -0.54777, 0.04101865
-2.841152, -0.4463685, 0.02790901
-2.803579, -0.5195091, 0.00871931
-2.827567, -0.6002035, 0.04400629
-2.867919, -0.3467071, 0.08139916
-2.902727, -0.4387994, 0.06799957
-2.842189, -0.5129216, 0.08023569
-2.836569, -0.5587847, 0.106171
-2.909116, -0.3861921, 0.0675099
-2.865011, -0.3083727, 0.170676
-2.909656, -0.3875072, 0.1204699
-2.899092, -0.3829701, 0.1721777
-2.78842, -0.6070623, 0.1778041
-2.842398, -0.4830441, 0.2235199
-2.81834, -0.4713471, 0.1777885
-2.917453, -0.2789855, 0.1708176
-2.870713, -0.4382603, 0.2235018
-2.912558, -0.3317499, 0.1707585
-2.83829, -0.519798, 0.1855811
-2.864911, -0.3577855, 0.2235127
-2.82648, -0.5703089, 0.1748446
-2.90121, -0.4361603, 0.1745763
-2.919547, -0.2840192, 0.2235169
-2.901243, -0.439831, 0.1217042
-2.858382, -0.4633617, 0.1440122
-2.925188, -0.2335885, -0.09209993
-2.797084, -0.4664218, -0.1143194
-2.789308, -0.4383638, -0.07005665
-2.817519, -0.282038, -0.2235108
-2.865689, -0.2734876, -0.1367505
-2.881153, -0.2571468, -0.07041864
-2.918116, -0.2760518, -0.1441621
-2.916428, -0.2348883, -0.2235015
-2.881088, -0.2624054, -0.01736999
-2.800519, -0.3322313, -0.2235108
-2.922199, -0.2232111, -0.1439708
-2.84572, -0.4463217, -0.1205114
-2.923762, -0.2310181, 0.1182292
-2.877254, -0.3899558, -0.04720539
-2.911683, -0.3285942, -0.1467351
-2.86151, -0.340543, -0.05807984
-2.818762, -0.4216051, -0.02932236
-2.919413, -0.24248, 0.01330732
-2.710088, -0.5910943, 0.002849802
-2.835503, -0.4827008, -0.08164275
-2.919672, -0.2862921, -0.09218441
-2.912116, -0.2982817, -0.04101074
-2.909659, -0.3368583, -0.07988875
-2.721678, -0.5925384, -0.0949021
-2.908557, -0.3354795, 0.04929602
-2.80248, -0.4788687, -0.0385491
-2.770313, -0.4955182, 0.09409577
-2.828876, -0.3574257, 0.04721498
-2.791816, -0.5704319, 0.018622
-2.913176, -0.2963929, 0.01261142
-2.906445, -0.3919032, 0.01490605
-2.864868, -0.3980532, 0.09413797
-2.816148, -0.4735177, 0.1090543
-2.918831, -0.2859666, 0.06516303
-2.862526, -0.4105639, 0.1455672
-2.842362, -0.512707, 0.1332267
-2.870941, -0.3051417, 0.2233809
-2.876613, -0.2066169, 0.2201816
-2.923454, -0.2311778, 0.2235364
-2.789898, -0.5175438, 0.1387602
-2.840321, -0.4064701, 0.1939412
-2.819558, -0.3187852, 0.2235076
-2.813706, -0.3714561, 0.2235075
-2.910839, -0.3355043, 0.1103835
-2.866019, -0.3078396, 0.1176889
-2.812078, -0.4249146, 0.1530702
-2.788308, -0.3419702, 0.1875398
-2.838411, -0.356071, 0.1776671
-2.876522, -0.2765212, -0.2235017
-2.922055, -0.1807275, -0.1756355
-2.899686, -0.1845114, -0.2235153
-2.825703, -0.3217158, -0.1780869
